stop_word
aan
aangaande
aangezien
achter
achterna
afgelopen
aldaar
aldus
alhoewel
alias
alle
allebei
alleen
alles
als
alsnog
altijd
altoos
ander
andere
anders
anderszins
behalve
behoudens
beide
beiden
ben
beneden
bent
bepaald
betreffende
bij
binnen
binnenin
boven
bovenal
bovendien
bovengenoemd
bovenstaand
bovenvermeld
buiten
daar
daarheen
daarin
daarna
daarnet
daarom
daarop
daarvanlangs
dan
dat
der
deze
die
dikwijls
dit
doch
doen
door
doorgaand
dus
echter
een
eens
eer
eerdat
eerder
eerlang
eerst
elk
elke
enig
enigszins
enkel
erdoor
even
eveneens
evenwel
gauw
gedurende
geen
gehad
gekund
geleden
gelijk
gemoeten
gemogen
geweest
gewoon
gewoonweg
haar
had
hadden
hare
heb
hebben
hebt
heeft
hem
hen
het
hier
hierbeneden
hierboven
hij
hoe
hoewel
hun
hunne
iemand
iets
ikzelf
inmiddels
inzake
jezelf
jij
jijzelf
jou
jouw
jouwe
juist
jullie
kan
klaar
kon
konden
krachtens
kunnen
kunt
later
liever
maar
mag
meer
men
met
mezelf
mij
mijn
mijnent
mijner
mijzelf
misschien
mocht
mochten
moest
moesten
moet
moeten
mogen
naar
nadat
net
niet
niets
noch
nog
nogal
ofschoon
omdat
omhoog
omlaag
omstreeks
omtrent
omver
onder
ondertussen
ongeveer
ons
onszelf
onze
ook
opnieuw
opzij
over
overeind
overigens
pas
precies
reeds
rond
rondom
sedert
sinds
sindsdien
slechts
sommige
spoedig
steeds
tamelijk
tegen
tenzij
terwijl
thans
tijdens
toch
toen
toenmaals
toenmalig
tot
totdat
tussen
uit
uitgezonderd
vaak
van
vandaan
vanuit
vanwege
veel
veeleer
verder
vervolgens
vol
volgens
voor
vooraf
vooral
vooralsnog
voorbij
voordat
voordezen
voordien
voorheen
voorop
vooruit
vrij
vroeg
waar
waarom
wanneer
want
waren
was
wat
weer
weg
wegens
wel
weldra
welk
welke
werd
wezen
wie
wiens
wier
wij
wijzelf
wil
worden
wordt
zal
zelf
zelfs
zich
zichzelf
zij
zijn
zijne
zodra
zonder
zou
zouden
zowat
zulke
zullen
zult
