stop_word
e
é
au
aux
avec
ce
ces
dans
de
des
du
elle
en
et
eux
il
je
la
le
leur
lui
ma
mais
me
même
mes
moi
mon
ne
nos
notre
nous
on
ou
par
pas
pour
qu
que
qui
sa
se
ses
son
sur
ta
te
tes
toi
ton
tu
un
une
vos
votre
vous
c
d
j
l
à
m
n
s
t
y
été
étée
étées
étés
étant
suis
es
est
sommes
êtes
sont
serai
seras
sera
serons
serez
seront
serais
serait
serions
seriez
seraient
étais
était
étions
étiez
étaient
fus
fut
fûmes
fûtes
furent
sois
soit
soyons
soyez
soient
fusse
fusses
fût
fussions
fussiez
fussent
ayant
eu
eue
eues
eus
ai
as
avons
avez
ont
aurai
auras
aura
aurons
aurez
auront
aurais
aurait
aurions
auriez
auraient
avais
avait
avions
aviez
avaient
eut
eûmes
eûtes
eurent
aie
aies
ait
ayons
ayez
aient
eusse
eusses
eût
eussions
eussiez
eussent
ceci
celà
cet
cette
ici
ils
les
leurs
quel
quels
quelle
quelles
sans
soi
là
&
?
-
!
aan
aangaande
aangezien
achter
achterna
afgelopen
aldaar
aldus
alhoewel
alias
alle
allebei
alleen
alles
als
alsnog
altijd
altoos
ander
andere
anders
anderszins
behalve
behoudens
beide
beiden
ben
beneden
bent
bepaald
betreffende
bij
binnen
binnenin
boven
bovenal
bovendien
bovengenoemd
bovenstaand
bovenvermeld
buiten
daar
daarheen
daarin
daarna
daarnet
daarom
daarop
daarvanlangs
dan
dat
der
deze
die
dikwijls
dit
doch
doen
door
doorgaand
dus
echter
een
eens
eer
eerdat
eerder
eerlang
eerst
elk
elke
enig
enigszins
enkel
erdoor
even
eveneens
evenwel
gauw
gedurende
geen
gehad
gekund
geleden
gelijk
gemoeten
gemogen
geweest
gewoon
gewoonweg
haar
had
hadden
hare
heb
hebben
hebt
heeft
hem
hen
het
hier
hierbeneden
hierboven
hij
hoe
hoewel
hun
hunne
iemand
iets
ikzelf
inmiddels
inzake
jezelf
jij
jijzelf
jou
jouw
jouwe
juist
jullie
kan
klaar
kon
konden
krachtens
kunnen
kunt
later
liever
maar
mag
meer
men
met
mezelf
mij
mijn
mijnent
mijner
mijzelf
misschien
mocht
mochten
moest
moesten
moet
moeten
mogen
naar
nadat
net
niet
niets
noch
nog
nogal
ofschoon
omdat
omhoog
omlaag
omstreeks
omtrent
omver
onder
ondertussen
ongeveer
ons
onszelf
onze
ook
opnieuw
opzij
over
overeind
overigens
pas
precies
reeds
rond
rondom
sedert
sinds
sindsdien
slechts
sommige
spoedig
steeds
tamelijk
tegen
tenzij
terwijl
thans
tijdens
toch
toen
toenmaals
toenmalig
tot
totdat
